zone,latitude,longitude,hour,weather,day_type,road_type,severity,risk_score,vehicles_involved,year,month
Thane - Ghodbunder Road,19.210869,72.971018,19,Clear,Weekend,Urban Road,Minor,0.503,3,2022,5
Thane - Ghodbunder Road,19.220236,72.962794,22,Fog,Weekday,Highway,Minor,0.667,4,2021,1
Thane - Ghodbunder Road,19.212156,72.97924,14,Clear,Weekday,Flyover,Minor,0.419,1,2023,5
Thane - Ghodbunder Road,19.213498,72.98568,16,Clear,Weekday,Junction,Fatal,0.466,1,2022,4
Thane - Ghodbunder Road,19.215028,72.974526,8,Rain,Weekday,Junction,Minor,0.588,2,2022,4
Thane - Ghodbunder Road,19.224208,72.979471,8,Overcast,Weekend,Junction,Serious,0.684,4,2022,7
Thane - Ghodbunder Road,19.218987,72.96602,14,Overcast,Weekend,Urban Road,Minor,0.431,1,2023,1
Thane - Ghodbunder Road,19.22339,72.970846,1,Clear,Weekday,Highway,Minor,0.624,3,2021,11
Thane - Ghodbunder Road,19.216815,72.969249,6,Clear,Weekday,Junction,Serious,0.444,3,2024,8
Thane - Ghodbunder Road,19.21083,72.984374,9,Rain,Weekday,Flyover,Serious,0.528,2,2023,11
Thane - Ghodbunder Road,19.22664,72.985328,14,Clear,Weekday,Highway,Minor,0.377,3,2023,11
Thane - Ghodbunder Road,19.206564,72.985241,8,Overcast,Weekday,Urban Road,Serious,0.529,1,2022,12
Thane - Ghodbunder Road,19.223685,72.976047,19,Clear,Weekend,Urban Road,Serious,0.493,2,2021,4
Thane - Ghodbunder Road,19.20953,72.985419,10,Clear,Weekday,Urban Road,Minor,0.37,4,2023,11
Thane - Ghodbunder Road,19.218088,72.978582,10,Clear,Weekday,Urban Road,Fatal,0.292,2,2023,5
Thane - Ghodbunder Road,19.23557,72.987954,10,Rain,Weekday,Urban Road,Minor,0.571,3,2023,8
Thane - Ghodbunder Road,19.218915,72.974153,8,Rain,Weekday,Urban Road,Serious,0.524,2,2024,3
Thane - Ghodbunder Road,19.209802,72.981889,16,Rain,Weekday,Urban Road,Minor,0.494,1,2024,7
Thane - Ghodbunder Road,19.222749,72.986451,21,Clear,Weekday,Highway,Fatal,0.43,1,2024,12
Thane - Ghodbunder Road,19.213489,72.971327,9,Overcast,Weekend,Urban Road,Serious,0.554,3,2024,3
Thane - Ghodbunder Road,19.227121,72.963302,20,Clear,Weekend,Junction,Fatal,0.501,1,2023,9
